Date/Time;Serial number;GPS longitude [°];GPS latitude [°];Total working hours counter [h];Engine speed [rpm];Engine load [%];Fuel consumption [l/h];Ground speed gearbox [km/h];Ground speed radar [km/h];Coolant temperature [°C];Speed front PTO [rpm];Speed rear PTO [rpm];current gear shift [];Ambient temperature [°C];Parking brake status [];Transverse differential lock status [];All-wheel drive status [];Actual status of creeper []
Oct 16, 2019 7:38:06 AM;A2302888;20.1048952;46.0487934;1451.06;810;32;5.45;0;0;18;0;0;NA;8.88;1;0;Automatic;NA
Oct 16, 2019 7:38:16 AM;A2302888;20.1048834;46.0488077;1451.06;810;30;5.1;0;0;19;0;0;NA;8.88;1;0;Automatic;NA
Oct 16, 2019 7:38:26 AM;A2302888;20.1048801;46.0488066;1451.07;810;29;4.9;0;0;20;0;0;NA;8.88;1;0;Automatic;NA
Oct 16, 2019 7:38:36 AM;A2302888;20.1048809;46.0487875;1451.07;814;49;8.15;0;0;20;0;0;NA;8.88;1;0;Automatic;NA
Oct 16, 2019 7:38:46 AM;A2302888;20.1048908;46.04878;1451.07;829;34;5.5;0.01;0;21;0;0;NA;8.88;0;0;off;NA
Oct 16, 2019 7:38:56 AM;A2302888;20.1049021;46.0488033;1451.07;872;41;7.85;1.81;1.81;22;0;0;NA;8.88;0;0;off;NA
Oct 16, 2019 7:39:06 AM;A2302888;20.1049061;46.0488405;1451.08;805;43;7.5;0.03;0;23;0;0;NA;8.88;0;0;off;NA
Oct 16, 2019 7:39:16 AM;A2302888;20.1049133;46.0488465;1451.08;978;45;9.85;2.76;2.76;23;0;0;NA;8.88;0;0;off;NA
Oct 16, 2019 7:39:26 AM;A2302888;20.104829;46.0488896;1451.08;917;36;7.7;3.08;3.08;24;0;0;NA;8.88;0;0;off;NA
Oct 16, 2019 7:39:36 AM;A2302888;20.1047377;46.0489276;1451.09;914;35;7.45;3;3;25;0;0;NA;8.88;0;0;off;NA
Oct 16, 2019 7:39:46 AM;A2302888;20.104626;46.0489708;1451.09;985;42;9.55;4.58;4.58;26;0;0;NA;8.88;0;0;off;NA
Oct 16, 2019 7:39:56 AM;A2302888;20.1044645;46.0489883;1451.09;938;20;5.6;4.17;4.17;27;0;0;NA;8.88;0;0;off;NA
Oct 16, 2019 7:40:06 AM;A2302888;20.1044482;46.0489867;1451.09;811;31;5.25;0;0;28;0;0;NA;9;0;0;off;NA
Oct 16, 2019 7:40:16 AM;A2302888;20.1044602;46.0489845;1451.1;810;26;4.2;0;0;29;0;0;NA;9;1;0;Automatic;NA
Oct 16, 2019 7:40:26 AM;A2302888;20.1044668;46.0489849;1451.1;811;26;4.2;0;0;29;0;0;NA;9.09;1;0;Automatic;NA
Oct 16, 2019 7:40:36 AM;A2302888;20.1044678;46.0489888;1451.1;811;26;4.2;0;0;30;0;0;NA;9.09;1;0;Automatic;NA
Oct 16, 2019 7:40:46 AM;A2302888;20.1044583;46.048991;1451.1;810;26;4.15;0;0;30;0;0;NA;9.19;1;0;Automatic;NA
Oct 16, 2019 7:40:56 AM;A2302888;20.1044555;46.0490002;1451.11;808;27;4.2;0;0;31;0;0;NA;9.19;1;0;Automatic;NA
Oct 16, 2019 7:41:06 AM;A2302888;20.1044509;46.0490111;1451.11;809;26;4.1;0;0;31;0;0;NA;9.19;1;0;Automatic;NA
Oct 16, 2019 7:41:16 AM;A2302888;20.1044477;46.049015;1451.11;810;25;3.95;0;0;32;0;0;NA;9.19;1;0;Automatic;NA
