Date/Time;Serial number;GPS longitude [°];GPS latitude [°];Total working hours counter [h];Engine speed [rpm];Engine load [%];Fuel consumption [l/h];Ground speed gearbox [km/h];Ground speed radar [km/h];Coolant temperature [°C];Speed front PTO [rpm];Speed rear PTO [rpm];current gear shift [];Ambient temperature [°C];Parking brake status [];Transverse differential lock status [];All-wheel drive status [];Actual status of creeper []
Oct 16, 2010 7:38:06 AM;A2302889;20.1048952;46.0487938;1451.06;810;32;5.45;0;0;18;0;0;NA;8.88;1;0;Automatic;NA
Oct 16, 2010 7:38:16 AM;A2302889;20.1048834;46.0488079;1451.06;810;30;5.1;0;0;19;0;0;NA;8.88;1;0;Automatic;NA
Oct 16, 2010 7:38:26 AM;A2302889;20.1048801;46.0488068;1451.07;810;29;4.9;0;0;20;0;0;NA;8.88;1;0;Automatic;NA
Oct 16, 2010 7:38:36 AM;A2302889;20.1048809;46.0487877;1451.07;814;49;8.15;0;0;20;0;0;NA;8.88;1;0;Automatic;NA
Oct 16, 2010 7:38:46 AM;A2302889;20.1048908;46.04880;1451.07;829;34;5.5;0.01;0;21;0;0;NA;8.88;0;0;off;NA
Oct 16, 2010 7:38:56 AM;A2302889;20.1049021;46.0488035;1451.07;872;41;7.85;1.81;1.81;22;0;0;NA;8.88;0;0;off;NA
Oct 16, 2010 7:39:06 AM;A2302889;20.1049061;46.0488407;1451.08;805;43;7.5;0.03;0;23;0;0;NA;8.88;0;0;off;NA
Oct 16, 2010 7:39:16 AM;A2302889;20.1049133;46.0488467;1451.08;978;45;9.85;2.76;2.76;23;0;0;NA;8.88;0;0;off;NA
Oct 16, 2010 7:39:26 AM;A2302889;20.104829;46.0488898;1451.08;917;36;7.7;3.08;3.08;24;0;0;NA;8.88;0;0;off;NA
Oct 16, 2010 7:39:36 AM;A2302889;20.1047377;46.0489278;1451.09;914;35;7.45;3;3;25;0;0;NA;8.88;0;0;off;NA
Oct 16, 2010 7:39:46 AM;A2302889;20.104626;46.0489710;1451.09;985;42;9.55;4.58;4.58;26;0;0;NA;8.88;0;0;off;NA
Oct 16, 2010 7:39:56 AM;A2302889;20.1044645;46.0489885;1451.09;938;20;5.6;4.17;4.17;27;0;0;NA;8.88;0;0;off;NA
Oct 16, 2010 7:40:06 AM;A2302889;20.1044482;46.0489869;1451.09;811;31;5.25;0;0;28;0;0;NA;9;0;0;off;NA
Oct 16, 2010 7:40:16 AM;A2302889;20.1044602;46.0489847;1451.1;810;26;4.2;0;0;29;0;0;NA;9;1;0;Automatic;NA
Oct 16, 2010 7:40:26 AM;A2302889;20.1044668;46.0489851;1451.1;811;26;4.2;0;0;29;0;0;NA;9.09;1;0;Automatic;NA
Oct 16, 2010 7:40:36 AM;A2302889;20.1044678;46.0489890;1451.1;811;26;4.2;0;0;30;0;0;NA;9.09;1;0;Automatic;NA
Oct 16, 2010 7:40:46 AM;A2302889;20.1044583;46.048993;1451.1;810;26;4.15;0;0;30;0;0;NA;9.19;1;0;Automatic;NA
Oct 16, 2010 7:40:56 AM;A2302889;20.1044555;46.0490004;1451.11;808;27;4.2;0;0;31;0;0;NA;9.19;1;0;Automatic;NA
Oct 16, 2010 7:41:06 AM;A2302889;20.1044509;46.0490113;1451.11;809;26;4.1;0;0;31;0;0;NA;9.19;1;0;Automatic;NA
Oct 16, 2010 7:41:16 AM;A2302889;20.1044477;46.049017;1451.11;810;25;3.95;0;0;32;0;0;NA;9.19;1;0;Automatic;NA
Oct 16, 2010 7:41:26 AM;A2302889;20.1044434;46.0490136;1451.12;809;27;4.05;0;0;32;0;0;NA;9.28;1;0;Automatic;NA
Oct 16, 2010 7:41:36 AM;A2302889;20.1044446;46.0490051;1451.12;809;26;3.95;0;0;32;0;0;NA;9.28;1;0;Automatic;NA
Oct 16, 2010 7:41:46 AM;A2302889;20.1044471;46.0489976;1451.12;809;26;4.05;0;0;33;0;0;NA;9.28;1;0;Automatic;NA
Oct 16, 2010 7:41:56 AM;A2302889;20.1044412;46.0489937;1451.12;808;27;3.95;0;0;33;0;0;NA;9.38;1;0;Automatic;NA
Oct 16, 2010 7:42:06 AM;A2302889;20.10443;46.048995;1451.13;809;26;4.05;0;0;33;0;0;NA;9.38;1;0;Automatic;NA
Oct 16, 2010 7:42:16 AM;A2302889;20.1044288;46.049000;1451.13;810;26;3.9;0;0;34;0;0;NA;9.38;1;0;Automatic;NA
Oct 16, 2010 7:42:26 AM;A2302889;20.1044294;46.0489987;1451.13;809;27;4.05;0;0;34;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:42:36 AM;A2302889;20.1044275;46.0489947;1451.14;810;26;3.95;0;0;34;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:42:46 AM;A2302889;20.1044286;46.048990;1451.14;811;27;3.9;0;0;34;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:42:56 AM;A2302889;20.104428;46.0489948;1451.14;809;27;3.9;0;0;35;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:43:06 AM;A2302889;20.1044348;46.0490047;1451.14;809;26;3.8;0;0;35;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:43:16 AM;A2302889;20.1044408;46.0490074;1451.15;811;27;3.9;0;0;35;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:43:26 AM;A2302889;20.1044444;46.049006;1451.15;809;26;3.95;0;0;36;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:43:36 AM;A2302889;20.1044489;46.0490095;1451.15;810;25;3.95;0;0;36;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:43:46 AM;A2302889;20.1044498;46.0490090;1451.15;811;26;3.75;0;0;36;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:43:56 AM;A2302889;20.1044527;46.0489973;1451.16;810;26;3.8;0;0;36;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:44:06 AM;A2302889;20.1044583;46.048988;1451.16;809;26;3.95;0;0;37;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:44:16 AM;A2302889;20.1044635;46.0489719;1451.16;810;26;3.8;0;0;37;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:44:26 AM;A2302889;20.1044525;46.0489664;1451.17;809;26;3.95;0;0;37;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:44:36 AM;A2302889;20.1044452;46.0489658;1451.17;810;26;3.8;0;0;37;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:44:46 AM;A2302889;20.1044325;46.0489571;1451.17;810;25;3.7;0;0;38;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:44:56 AM;A2302889;20.1044358;46.048958;1451.17;810;25;3.7;0;0;38;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:45:06 AM;A2302889;20.1044406;46.0489631;1451.18;811;25;3.8;0;0;38;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:45:16 AM;A2302889;20.1044388;46.0489727;1451.18;809;25;3.75;0;0;38;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:45:26 AM;A2302889;20.104427;46.0489807;1451.18;811;25;3.6;0;0;39;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:45:36 AM;A2302889;20.1044345;46.048995;1451.19;810;26;3.8;0;0;39;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:45:46 AM;A2302889;20.1044483;46.0490007;1451.19;810;25;3.75;0;0;39;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:45:56 AM;A2302889;20.1044613;46.0490015;1451.19;811;24;3.7;0;0;39;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:46:06 AM;A2302889;20.1044596;46.0490077;1451.19;809;25;3.75;0;0;39;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:46:16 AM;A2302889;20.1044549;46.0490168;1451.2;809;25;3.65;0;0;40;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:46:26 AM;A2302889;20.1044514;46.0490229;1451.2;811;24;3.65;0;0;40;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:46:36 AM;A2302889;20.1044404;46.0490171;1451.2;810;24;3.6;0;0;40;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:46:46 AM;A2302889;20.1044272;46.0489944;1451.21;810;25;3.85;0;0;40;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:46:58 AM;A2302889;20.104428;46.0489888;1451.21;811;24;3.55;0;0;41;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:47:08 AM;A2302889;20.1044326;46.0489943;1451.21;810;24;3.45;0;0;41;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:47:16 AM;A2302889;20.1044389;46.049004;1451.21;810;22;3.3;0;0;41;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:47:28 AM;A2302889;20.1044503;46.0490093;1451.22;810;23;3.4;0;0;41;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:47:38 AM;A2302889;20.104459;46.0490086;1451.22;811;23;3.35;0;0;41;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:47:46 AM;A2302889;20.1044564;46.0490054;1451.22;810;23;3.45;0;0;42;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:47:58 AM;A2302889;20.1044546;46.0489970;1451.22;809;23;3.3;0;0;42;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:48:08 AM;A2302889;20.1044366;46.0489897;1451.23;809;22;3.25;0;0;42;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:48:18 AM;A2302889;20.1044215;46.0489881;1451.23;811;22;3.05;0;0;42;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:48:28 AM;A2302889;20.1044236;46.0489948;1451.23;811;22;3.25;0;0;43;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:48:38 AM;A2302889;20.1044422;46.0490035;1451.24;810;22;3.1;0;0;43;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:48:48 AM;A2302889;20.104441;46.049008;1451.24;811;21;3.2;0;0;43;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:48:56 AM;A2302889;20.1044377;46.0490076;1451.24;812;21;3.15;0;0;43;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:49:06 AM;A2302889;20.104441;46.0490081;1451.24;810;21;3;0;0;43;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:49:16 AM;A2302889;20.1044352;46.0489939;1451.25;811;22;3.3;0;0;43;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:49:26 AM;A2302889;20.1044283;46.0489820;1451.25;812;21;2.95;0;0;44;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:49:36 AM;A2302889;20.1044262;46.0489785;1451.25;809;22;3.2;0;0;44;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:49:46 AM;A2302889;20.1044318;46.0489718;1451.25;810;21;3;0;0;44;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:49:56 AM;A2302889;20.1044355;46.0489673;1451.26;811;20;3;0;0;44;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:50:08 AM;A2302889;20.104439;46.0489789;1451.26;812;20;2.9;0;0;44;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:50:18 AM;A2302889;20.1044449;46.0489885;1451.26;810;21;3.05;0;0;45;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:50:28 AM;A2302889;20.1044495;46.0489818;1451.27;810;21;3.05;0;0;45;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:50:38 AM;A2302889;20.1044523;46.0489766;1451.27;810;21;3.1;0;0;45;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:50:48 AM;A2302889;20.1044546;46.0489819;1451.27;810;21;3;0;0;45;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:50:58 AM;A2302889;20.1044548;46.0489793;1451.27;810;21;3;0;0;45;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:51:08 AM;A2302889;20.1044536;46.048975;1451.28;810;21;3;0;0;45;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:51:18 AM;A2302889;20.1044498;46.0489707;1451.28;809;21;3;0;0;46;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:51:28 AM;A2302889;20.104445;46.0489688;1451.28;810;20;2.9;0;0;46;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:51:38 AM;A2302889;20.1044356;46.0489739;1451.29;811;19;2.75;0;0;46;0;0;NA;9.5;1;0;Automatic;NA
Oct 16, 2010 7:51:48 AM;A2302889;20.1044376;46.0489876;1451.29;810;20;2.7;0;0;46;0;0;NA;9.5;1;0;Automatic;NA
